"","ASV1","ASV3","ASV6","ASV7","ASV8","ASV9","ASV10","ASV11","ASV13","ASV14","ASV15","ASV16","ASV17","ASV18","ASV19","ASV21","ASV22","ASV23","ASV26","ASV27","ASV28","ASV29","ASV30","ASV31","ASV32","ASV33","ASV34","ASV35","ASV36","ASV38","ASV39","ASV40","ASV41","ASV42","ASV43","ASV44","ASV45","ASV46","ASV47","ASV48","ASV49","ASV50","ASV51","ASV52","ASV53","ASV54","ASV55","ASV57","ASV59","ASV61","ASV62","ASV63","ASV64","ASV66","ASV67","ASV68","ASV69","ASV70","ASV71","ASV73","ASV74","ASV75","ASV77","ASV78","ASV79","ASV82","ASV83","ASV84","ASV85","ASV86","ASV87","ASV88","ASV89","ASV91","ASV92","ASV93","ASV94","ASV95","ASV96","ASV97","ASV98","ASV99","ASV100","ASV101","ASV103","ASV104","ASV105","ASV106","ASV107","ASV109","ASV110","ASV111","ASV112","ASV114","ASV115","ASV116","ASV117","ASV118","ASV119","ASV120","ASV123","ASV124","ASV125","ASV126","ASV128","ASV129","ASV130","ASV131","ASV133","ASV134","ASV135","ASV136","ASV137","ASV138","ASV139","ASV140","ASV143","ASV145","ASV146","ASV147","ASV148","ASV149","ASV151","ASV152","ASV153","ASV155","ASV156","ASV157","ASV159","ASV160","ASV161","ASV162","ASV164","ASV166","ASV168","ASV169","ASV171","ASV172","ASV174","ASV175","ASV176","ASV177","ASV178","ASV179","ASV180","ASV181","ASV182","ASV183","ASV184","ASV185","ASV186","ASV188","ASV189","ASV190","ASV191","ASV192","ASV193","ASV194","ASV195","ASV196","ASV198","ASV199","ASV200","ASV201","ASV202","ASV203","ASV204","ASV206","ASV207","ASV208","ASV209","ASV211","ASV212","ASV214","ASV217","ASV218","ASV219","ASV220","ASV221","ASV222","ASV223","ASV224","ASV225","ASV226","ASV228","ASV231","ASV232","ASV233","ASV234","ASV235","ASV236","ASV237","ASV239","ASV240","ASV241","ASV242","ASV243","ASV244","ASV245","ASV246","ASV247","ASV248","ASV249","ASV250","ASV251","ASV253","ASV254","ASV255","ASV256","ASV257","ASV258","ASV259","ASV261","ASV262","ASV263","ASV264","ASV267","ASV268","ASV269","ASV270","ASV271","ASV272","ASV274","ASV275","ASV276","ASV277","ASV278","ASV279","ASV281","ASV282","ASV284","ASV285","ASV286","ASV287","ASV288","ASV289","ASV290","ASV291","ASV292","ASV293","ASV294","ASV295","ASV297","ASV298","ASV299","ASV300","ASV301","ASV302","ASV303","ASV304","ASV305","ASV306","ASV307","ASV309","ASV310","ASV311","ASV312","ASV313","ASV314","ASV315","ASV316","ASV317","ASV318","ASV319","ASV320","ASV322","ASV323","ASV324","ASV325","ASV326","ASV327","ASV328","ASV329","ASV330","ASV331","ASV332","ASV333","ASV334","ASV335","ASV336","ASV337","ASV338","ASV339","ASV340","ASV341","ASV342","ASV343","ASV344","ASV345","ASV346","ASV347","ASV348","ASV350","ASV351","ASV353","ASV354","ASV355","ASV356","ASV357","ASV360","ASV362","ASV363","ASV364","ASV365","ASV366","ASV367","ASV368","ASV369","ASV371","ASV372","ASV373","ASV374","ASV375","ASV376","ASV377","ASV378","ASV379","ASV380","ASV381","ASV382","ASV383","ASV384","ASV385","ASV386","ASV387","ASV389","ASV390","ASV393","ASV395","ASV397","ASV398","ASV399","ASV400","ASV401","ASV402","ASV403","ASV404","ASV405","ASV406","ASV407","ASV408","ASV409","ASV410","ASV411"
"T13-6",581,314,0,26,41,42,89,11,132,0,70,0,46,0,0,57,0,0,58,193,0,0,12,0,0,0,0,33,804,112,15,68,17,0,0,0,76,35,21,0,0,0,9,0,59,0,52,0,0,49,0,0,0,41,0,11,35,0,0,66,18,0,27,53,0,27,0,34,26,0,25,0,33,0,0,0,373,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,14,15,0,5,0,56,0,65,15,0,0,31,0,29,63,0,9,0,23,52,0,0,0,0,42,0,0,0,36,16,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,2,0,0,36,0,0,0,0,20,0,0,0,0,9,19,0,0,0,0,0,33,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,12,0,24,12,0,0,26,23,20,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,10,0,0,0,14,0,0,42,0,0,7,0,0,23,0,14,0,0,5,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,0,0,33,0,0,0,12,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,15,6,0,11,0,15,0,0,0,0,13,0,0,0,41,0,0,0,5,0,0,0,0,0,0,18,0,0,0,0,4,0,0
"T13-S-1",123,70,367,17,32,31,72,118,10,161,18,266,25,0,0,25,178,151,0,0,6,232,0,65,70,0,89,39,0,19,0,0,0,145,0,0,16,0,44,46,96,0,0,70,8,71,0,133,39,0,0,25,38,0,0,32,30,85,53,0,0,0,0,0,0,35,47,0,0,37,0,17,0,26,0,12,0,29,0,28,0,28,0,36,0,47,10,18,7,32,19,34,0,0,0,0,15,24,0,0,0,0,65,0,0,20,0,0,0,0,15,0,0,25,0,0,17,0,0,0,13,0,0,0,27,23,0,45,0,0,0,15,0,10,59,20,15,33,4,0,32,0,0,0,0,0,0,44,0,0,0,0,0,0,32,0,24,24,0,7,25,0,5,0,5,0,0,0,4,16,0,0,0,0,8,0,0,0,21,21,0,0,0,35,16,0,49,2,40,0,0,8,0,21,0,11,24,0,0,0,9,0,6,0,7,0,17,9,0,14,0,10,0,0,0,0,17,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,0,9,3,0,21,0,0,0,0,0,0,31,8,0,26,0,0,0,26,0,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,11,30,0,0,0,0,40,0,22,0,4,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,20,0,0,15,6,0,0,0,0,0,0,0,3,0,0,0,10,0,0,0,0,7,0,21,0,18,0,0,0,0,0,0,4,0,0,0,0,0,15,0,0,0,0,0,0
"T14-1",44,20,0,404,58,10,55,29,32,0,42,0,62,202,185,25,0,0,13,39,35,0,251,7,0,25,40,0,0,1,8,0,222,0,0,60,0,56,529,0,0,152,94,0,0,0,7,0,0,6,0,0,0,0,20,0,0,0,0,7,0,0,0,18,14,0,17,10,18,0,49,0,16,200,0,28,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,101,21,16,0,0,0,11,0,0,0,0,34,6,0,0,49,0,0,97,0,3,0,42,0,0,9,312,0,0,0,0,0,0,0,0,0,4,0,0,0,31,0,0,0,0,29,0,0,0,0,0,22,0,23,0,0,22,0,0,6,0,0,0,28,0,0,18,0,0,0,0,0,0,0,6,0,0,0,0,0,0,16,98,0,0,0,0,0,0,0,8,0,0,0,0,5,0,0,0,0,25,0,0,0,3,4,16,8,0,0,0,55,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,8,0,0,3,37,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,76,0,0,0,0,0,8,18,27,0,0,0,0,7,0,20,0,0,0,0,0,0,0,71,0,81,0,11,13,0,0,2,0,0,24,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,26,0,0,0,14,0,0,0,0,0,0,0,0,0,0
"T14-15",1099,531,0,29,30,52,110,48,41,0,43,0,56,29,0,271,0,0,6,20,0,0,0,23,0,0,0,135,0,66,0,21,19,0,0,0,21,0,14,0,0,159,0,0,73,0,33,0,0,83,0,0,0,0,0,35,82,0,0,0,121,0,0,0,0,24,0,36,0,0,28,0,41,0,9,11,0,0,80,25,15,0,0,0,0,0,17,0,0,0,0,0,0,22,13,9,33,0,0,53,32,13,0,0,18,0,2,0,47,0,0,23,8,0,0,0,0,0,0,0,0,0,31,83,0,0,56,0,14,0,0,0,0,0,0,0,0,0,0,18,0,0,31,0,50,0,35,0,43,27,0,22,8,0,0,0,0,0,0,6,0,30,0,0,0,0,42,0,86,0,0,0,0,0,0,39,0,0,0,0,36,3,0,0,0,0,0,8,0,0,0,11,22,0,0,0,10,12,0,8,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,23,0,0,64,0,0,0,14,0,6,0,0,4,0,0,0,0,0,0,0,24,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,33,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,25,0,0,0,0,0,0,10,0,20,0,6,21,24,0,0,0,0,0,0,12,0,9,40,0
"T14-2-2",107,70,257,0,16,0,44,184,6,123,0,112,0,0,0,31,177,165,0,0,0,325,0,87,67,0,68,0,10,42,0,0,0,54,30,0,0,0,0,26,76,0,0,106,0,75,0,207,54,0,0,106,63,0,0,12,68,77,0,0,0,0,0,0,59,27,0,0,0,141,0,44,0,0,0,0,0,78,0,59,0,26,0,0,0,0,2,44,0,27,33,70,0,0,0,0,0,41,0,0,0,0,39,0,0,17,0,0,0,0,0,0,0,36,0,0,31,0,0,0,36,0,0,0,42,24,0,0,0,0,0,6,0,0,0,16,18,0,6,56,39,0,0,0,0,0,0,52,0,0,0,0,0,0,36,0,22,0,0,34,39,0,27,0,14,0,0,0,0,0,0,0,0,0,0,29,0,0,32,0,0,0,0,26,36,0,38,0,46,0,0,0,0,0,0,29,0,0,0,0,0,16,0,0,15,0,0,0,0,0,0,9,14,29,0,0,5,16,11,20,0,0,0,0,0,0,0,0,9,0,0,41,10,0,0,26,8,26,0,0,0,0,0,0,0,0,0,0,11,0,16,0,0,30,0,0,0,0,13,15,0,11,0,0,0,0,0,0,0,0,0,14,36,0,11,0,0,23,0,15,0,0,0,0,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,29,0,0,7,5,0,8,0,39,0,0,0,0,0,0,0,0,0,14,0,0,17,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,12,0,0,0,32
"T14-3",450,234,0,128,29,44,96,21,436,0,169,0,97,48,7,71,0,0,0,110,0,0,56,0,0,0,41,0,0,0,79,235,24,0,0,82,97,90,38,0,0,64,0,0,43,0,77,0,0,20,0,0,0,33,0,0,0,0,49,64,0,0,0,57,0,58,0,65,59,0,37,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,39,0,0,0,58,0,0,0,0,0,23,0,29,36,75,31,10,4,43,0,0,0,0,40,0,82,0,73,10,10,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,68,0,0,25,23,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,71,0,13,0,39,31,5,0,0,7,43,0,0,0,0,0,23,0,12,0,0,0,0,42,0,0,9,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,47,0,0,0,0,14,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,31,0,0,0,37,0,0,44,43,0,0,0,0,18,0,0,0,0,0,0,0,0,0,33,0,0,0,0,10,0,0,0,0,0,0,0,0,17,0,0,0,103,0,0,0,0,0,0,8,0,0
"T14-6",445,253,0,22,53,20,64,33,120,0,135,0,84,0,0,82,0,0,65,299,0,0,0,0,0,0,0,10,76,145,20,63,60,0,0,0,214,115,0,0,0,0,0,0,31,0,70,0,0,37,0,0,0,0,0,0,33,0,0,174,0,0,0,165,0,0,0,32,82,0,0,0,51,16,0,12,36,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,14,41,32,12,0,67,0,68,13,0,0,47,0,32,60,38,5,0,0,46,0,0,0,0,102,26,80,0,97,19,46,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,20,0,0,35,0,47,38,0,0,0,0,0,51,0,0,6,0,0,0,0,66,0,0,0,0,0,0,0,0,10,27,19,0,0,19,21,11,0,0,0,0,0,0,0,0,0,0,0,19,0,0,24,0,14,0,0,0,0,0,0,0,0,18,0,0,0,13,0,0,73,0,0,0,0,0,8,0,11,0,0,0,0,0,0,0,0,61,28,0,0,0,0,0,0,0,0,18,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,41,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,34,0,5,22,0,27,0,0,0,0,0,0,0,0,0,0,20,0,0
"T14-S-1",86,45,259,0,24,0,27,178,13,122,0,398,0,0,0,17,164,132,0,0,23,362,0,115,64,0,56,16,0,12,0,0,13,194,0,8,0,0,0,29,72,0,0,70,5,62,0,166,51,0,0,36,58,0,0,24,36,115,12,0,14,57,0,0,27,18,37,5,0,19,0,37,0,0,0,0,0,22,0,35,5,10,15,10,0,17,0,16,0,18,30,46,0,0,0,1,20,17,0,0,0,0,32,0,3,26,0,0,0,0,0,0,0,18,0,0,35,0,0,0,23,1,0,0,34,16,0,7,0,0,44,13,0,18,31,25,22,0,0,13,8,5,16,0,0,0,0,55,0,0,6,0,0,0,34,0,28,13,0,29,18,0,12,20,21,0,0,0,0,12,0,0,28,0,0,21,0,0,17,20,0,0,0,14,37,0,24,0,21,0,0,0,0,21,0,9,1,0,0,0,0,18,7,0,25,2,0,5,0,2,0,14,0,8,0,0,7,0,0,15,0,0,0,0,0,6,0,25,20,0,12,17,0,0,9,4,6,12,8,0,18,0,0,0,0,0,0,0,2,0,9,0,7,9,3,0,14,18,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,16,0,11,0,6,12,0,20,0,11,0,0,0,13,0,9,0,0,0,19,0,0,12,0,0,5,8,0,14,0,2,0,0,14,0,0,16,0,4,0,0,12,0,7,0,26,0,10,0,0,0,0,0,0,0,0,0,0,0,0,8,19,0,0,0,0,22
"T15-15",1129,533,0,26,59,35,125,36,55,0,38,0,57,0,0,163,0,0,29,43,0,0,0,22,0,25,0,120,0,55,23,0,31,0,0,20,46,74,14,0,0,0,0,0,60,0,53,0,0,41,0,0,0,0,0,54,32,0,0,11,107,0,0,0,0,36,0,22,25,0,55,0,31,0,25,0,0,0,64,60,19,0,0,0,0,0,15,0,0,0,0,0,0,44,39,50,14,0,0,310,3,17,0,0,36,0,32,0,51,0,0,19,0,0,0,0,0,15,0,39,0,0,24,32,0,5,28,0,8,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,20,0,18,0,0,0,0,15,48,23,0,0,0,0,0,0,0,17,0,0,8,13,7,0,44,0,0,0,0,15,0,14,0,20,0,0,21,21,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,22,16,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,38,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,13,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,12,0,0,0,0,0,0,6,0,0,0,0,13,0,0,8,0,7,0,0,0,0,0,0,0,0,0,11,90,0
"T15-2",44,21,0,592,59,32,58,30,21,0,269,0,59,275,194,0,0,0,37,53,338,0,148,0,0,19,0,8,0,0,0,0,74,0,0,79,42,36,0,0,0,220,81,0,10,0,19,0,0,0,0,0,0,0,180,3,0,0,0,22,0,0,0,22,0,0,0,17,11,0,0,0,0,209,0,53,0,0,0,0,0,0,0,0,124,0,23,0,0,0,0,0,40,18,25,0,0,0,0,0,0,0,0,33,18,0,3,0,0,0,41,0,11,0,59,0,0,12,37,0,0,0,0,0,0,0,10,0,5,7,0,0,33,0,0,0,0,0,0,0,0,0,0,45,46,180,8,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,59,0,48,0,40,0,22,18,0,0,0,0,6,37,13,0,0,0,52,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,35,10,0,0,85,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,6,25,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,14,0,4,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,27,0,26,0,0,0,0,0,0,0,0
"T15-3",346,149,0,154,17,52,96,0,451,0,142,0,61,65,0,99,0,0,0,139,33,0,0,0,0,0,73,0,0,0,135,210,22,0,0,49,108,90,34,0,0,0,0,0,18,0,71,0,0,20,0,0,0,4,0,24,0,0,11,87,55,0,0,79,0,0,18,89,68,0,0,0,29,44,0,7,0,0,0,18,19,0,0,0,0,0,0,0,110,0,0,0,0,33,43,7,0,0,72,0,20,0,0,0,28,0,50,68,69,37,0,0,44,0,41,0,0,9,31,47,0,75,0,0,0,0,0,0,55,14,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,32,0,0,0,30,27,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,56,0,9,0,0,26,10,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,8,0,0,10,0,0,0,0,0,0,30,0,0,30,0,0,16,0,24,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,22,0,0,0,0,0,0,2,31,0,0,0,0,55,0,0,0,0,26,30,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,23,0,8,0,30,0,0,0,35,0,0,0,0,8,0,0,0,0,0,0,0,0,0,37,0,0,0,0,57,0,11,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"T15-S-2",122,73,476,12,26,16,65,185,20,249,10,20,0,0,11,29,153,107,0,0,0,30,0,79,16,21,72,15,0,4,17,0,60,10,170,12,0,0,0,51,85,12,0,93,15,43,0,22,192,0,0,24,56,0,0,118,0,0,53,0,0,0,0,0,64,39,42,4,0,6,8,60,14,0,0,0,0,40,0,35,8,40,79,39,0,20,16,64,0,37,29,6,35,0,0,0,11,12,3,0,0,0,20,0,0,40,0,10,0,0,0,0,0,18,0,0,29,0,0,0,18,0,0,0,0,13,0,28,10,0,0,11,13,35,6,42,6,29,59,23,16,0,21,0,0,0,0,10,0,0,0,0,0,0,11,0,6,27,0,7,32,0,20,33,0,0,0,0,0,30,12,12,0,0,0,22,0,0,8,9,0,0,0,19,0,0,27,0,7,2,28,0,0,0,60,13,19,0,0,0,0,32,10,0,11,0,19,6,0,0,0,14,0,10,0,0,4,15,4,18,0,0,0,0,0,0,0,18,0,13,22,11,0,0,9,0,28,10,9,0,0,0,0,0,0,0,0,0,0,22,18,0,0,0,24,4,0,0,6,9,0,7,3,0,0,0,0,13,0,0,0,24,11,7,7,0,0,0,0,8,0,6,5,0,0,0,0,0,0,0,8,0,9,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1,31,0,4,0,4,0,12,0,0,0,33,0,0,7,0,0,0,0,0,0,6,0,5,0,0,0
"T17-15",1598,749,0,12,44,287,77,29,8,0,32,0,34,0,0,173,0,0,88,5,0,0,0,14,0,25,0,139,0,34,7,0,10,0,0,60,0,29,7,0,0,0,0,0,135,0,0,0,0,35,0,0,0,45,0,42,37,0,0,0,82,0,0,0,0,0,0,21,0,0,25,0,31,0,0,0,0,0,118,36,10,0,0,0,0,0,14,0,0,0,0,0,0,21,0,14,15,0,0,38,13,64,0,0,0,0,0,10,0,0,0,40,0,5,30,0,0,0,0,0,0,0,14,20,0,0,23,0,0,0,0,0,0,0,0,3,1,0,26,0,0,0,0,0,22,0,5,0,34,67,0,2,0,0,0,0,0,0,0,5,0,15,0,0,0,36,17,0,14,0,0,9,0,0,0,25,7,4,0,0,0,0,23,0,0,0,0,0,0,0,0,10,0,0,27,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,52,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,10,0,0,0,0,25,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"T17-2",238,110,0,154,89,222,134,46,12,0,98,0,380,80,288,23,0,0,27,35,302,0,290,19,0,47,31,20,0,0,47,0,17,0,0,121,0,10,51,0,0,15,131,0,31,0,0,0,0,17,0,0,0,0,179,0,0,0,0,0,0,0,11,0,0,0,14,0,2,0,0,35,26,55,0,64,0,0,0,0,10,0,0,0,106,0,61,0,46,0,0,0,0,7,32,0,0,0,1,0,0,0,21,104,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,37,0,0,38,0,0,63,4,0,0,0,0,0,0,0,0,0,67,39,0,0,0,26,0,0,0,0,0,0,30,0,0,7,0,0,0,0,0,0,32,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,3,0,0,0,62,0,9,0,39,0,5,0,0,0,0,0,0,58,0,13,0,0,33,0,0,0,12,0,5,0,0,0,0,0,0,0,0,0,0,59,23,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,19,0,0,0,0,0,0,5,0,0,0,0,0,0,30,35,37,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,8,39,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,17,0,41,0,0,0,0,0,0,0,0
"T17-3",1165,637,0,341,27,215,110,13,33,0,100,0,93,204,0,31,0,0,0,47,16,0,58,0,0,11,0,0,0,0,294,0,0,0,0,27,98,86,46,0,0,31,0,0,22,0,39,0,0,51,0,0,0,14,0,0,0,0,22,56,0,0,70,30,0,0,0,62,28,0,0,0,16,0,0,0,0,0,0,0,34,0,0,0,0,0,20,0,115,0,0,0,0,48,13,0,0,0,0,0,8,26,0,27,26,0,25,0,0,38,0,0,17,0,0,0,0,7,0,38,0,0,27,3,0,0,0,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,15,19,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,11,0,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,19,13,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,27,0,8,0,0,0,0,14,51,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,9,0,0
"T17-6",714,331,0,22,27,130,88,11,139,0,110,0,0,25,0,39,0,0,138,124,0,0,0,0,0,0,0,51,655,114,24,61,8,0,0,88,58,89,0,0,0,0,0,0,42,0,81,0,0,68,0,0,0,72,0,0,29,0,0,52,0,0,94,64,0,37,0,37,55,0,30,0,46,0,0,0,285,0,0,0,12,0,0,0,0,0,18,0,0,0,0,0,0,0,0,16,0,0,48,0,60,55,0,0,26,0,32,33,0,7,0,0,0,0,0,0,0,30,0,68,0,27,7,6,0,0,0,0,24,9,0,0,0,0,0,0,0,0,4,0,0,24,0,0,0,0,10,0,0,0,0,15,28,0,0,0,0,0,48,0,0,0,0,0,23,0,9,0,0,0,0,0,0,15,0,0,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,12,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,8,0,19,0,0,0,8,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"T19-3",140,83,0,294,97,126,114,6,26,0,48,0,66,175,427,15,0,0,414,22,368,0,19,0,0,61,0,0,0,6,46,11,171,0,0,57,23,8,21,0,0,47,218,0,12,0,0,0,0,8,0,0,0,209,237,0,22,0,0,3,0,0,0,0,0,0,0,8,4,0,11,0,21,22,2,51,1,0,0,0,14,0,0,0,149,0,39,0,0,8,0,0,104,4,6,0,0,0,10,0,6,16,0,12,10,0,0,0,0,6,15,4,1,0,29,0,0,3,0,0,0,0,0,0,0,0,17,0,0,18,0,0,11,0,0,0,0,0,0,0,0,0,0,45,0,29,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,1,0,0,0,52,0,25,0,0,0,11,37,0,0,0,0,3,30,0,1,0,0,15,0,35,0,0,4,0,0,0,0,0,0,0,0,0,0,0,20,22,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,20,0,57,0,0,0,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,4,0,0,0,0,0,13,0,0,0,0,0,0,4,0,0,0,0,4,0,0,30,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,0,0,1,0,0,0,0,0,22,0,0,0,0,0,0,0
